method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,1.2031104580450122e-09,200,0.033288700000412064
Gauss-Seidel,1e-10,True,2.2480879490499984e-08,31,0.010962000000290573
Gradient,1e-10,True,9.820386204215247e-08,12919,2.0500840000022436
Jacobi,1e-10,True,1.7279781708138417e-09,313,0.04873989999759942
Conjugate Gradient,1e-08,True,1.3198404496313774e-07,177,0.028447600001527462
Gauss-Seidel,1e-08,True,1.7097329000532485e-06,24,0.00828949999777251
Gradient,1e-08,True,9.816363743557341e-06,8233,1.2921141000006173
Jacobi,1e-08,True,1.702366507728913e-07,247,0.03859019999799784
Conjugate Gradient,1e-06,True,2.5529092776841137e-05,134,0.023652100000617793
Gauss-Seidel,1e-06,True,0.00012996939585924877,17,0.00579940000170609
Gradient,1e-06,True,0.0009680457310606555,3577,0.569283799999539
Jacobi,1e-06,True,1.6771345223264993e-05,181,0.028602099999261554
Conjugate Gradient,0.0001,True,0.020789760009956436,49,0.3123057999982848
Gauss-Seidel,0.0001,True,0.018205942995188816,9,0.2887810000029276
Gradient,0.0001,True,0.03457470077301082,143,0.6968901000000187
Jacobi,0.0001,True,0.0016522765162573765,115,2.8059621000029438
