method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,2.1917475869925956e-11,59,0.0010269000013067853
Gauss-Seidel,1e-10,True,3.5082385720719347e-09,2338,0.08079770000040298
Gradient,1e-10,True,2.7131633029469964e-09,3058,0.049063500002375804
Jacobi,1e-10,True,3.524921963966002e-09,4671,0.07483890000003157
Conjugate Gradient,1e-08,True,2.831873374358546e-09,53,0.0015061999984027352
Gauss-Seidel,1e-08,True,3.51745695921558e-07,1778,0.061373700002150144
Gradient,1e-08,True,2.695337353695621e-07,2336,0.03773119999823393
Jacobi,1e-08,True,3.5252279465024174e-07,3552,0.05720909999945434
Conjugate Gradient,1e-06,True,3.732339701437788e-07,45,0.0007541000013588928
Gauss-Seidel,1e-06,True,3.526696849035828e-05,1218,0.041279999997641426
Gradient,1e-06,True,2.7133391831512074e-05,1612,0.0264037000015378
Jacobi,1e-06,True,3.525534070299346e-05,2433,0.03825660000075004
Conjugate Gradient,0.0001,True,4.08279315868091e-05,38,0.0006683000028715469
Gauss-Seidel,0.0001,True,0.003506972597033556,659,0.02334279999922728
Gradient,0.0001,True,0.002704572409363497,890,0.016698400002496783
Jacobi,0.0001,True,0.0035258402221744053,1314,0.021375500000431202
