,,converged,converged,converged,converged,iterations,iterations,iterations,iterations,time,time,time,time
method,,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi
matrix,tolerance,,,,,,,,,,,,
spa1.mtx,1e-10,True,True,True,True,200,31,12919,313,0.054693199999746867,0.062099799994030036,3.2014039999921806,0.1852301000035368
spa1.mtx,1e-08,True,True,True,True,177,24,8233,247,0.049828000002889894,0.04745139999431558,2.0279543999931775,0.1296413000090979
spa1.mtx,1e-06,True,True,True,True,134,17,3577,181,0.03218629999901168,0.03421189999789931,0.9012600999994902,0.10679989999334794
spa1.mtx,0.0001,True,True,True,True,49,9,143,115,0.9126916000095662,1.173350200013374,0.9349635999969905,9.076848500000779
spa2.mtx,1e-10,True,True,True,True,240,15,8285,99,0.8674987999984296,0.2797181000059936,25.30630630000087,0.7128904999990482
spa2.mtx,1e-08,True,True,True,True,196,12,5087,78,0.5762867000012193,0.22128650000377093,15.851849999991828,0.5677602999930969
spa2.mtx,1e-06,True,True,True,True,122,8,1949,57,0.34738339998875745,0.1507531000097515,5.846473899990087,0.4226673000084702
spa2.mtx,0.0001,True,True,True,True,42,5,161,36,0.11290790000930429,0.09290099999634549,0.4556607999984408,0.26521309999225195
vem1.mtx,1e-10,True,True,True,True,59,2338,3058,4671,0.02733569999691099,12.289620199997444,1.381774299996323,5.994441700007883
vem1.mtx,1e-08,True,True,True,True,53,1778,2336,3552,0.026707800003350712,9.651492300006794,1.0462951000081375,4.66873520000081
vem1.mtx,1e-06,True,True,True,True,45,1218,1612,2433,0.028555400000186637,6.7575150999909965,0.9720278000022518,3.7304917000001296
vem1.mtx,0.0001,True,True,True,True,38,659,890,1314,0.02455480000935495,3.9582420000078855,0.5221354999957839,2.7062199000065448
vem2.mtx,1e-10,True,True,True,True,74,3589,4696,7174,0.1371651999943424,48.449314099998446,8.861146099996404,34.89209799999662
vem2.mtx,1e-08,True,True,True,True,66,2714,3566,5425,0.14264380000531673,36.781639499997254,7.450189900002442,26.75311309999961
vem2.mtx,1e-06,True,True,True,True,56,1840,2438,3676,0.09549219999462366,25.83419489998778,4.783592599997064,17.433437600004254
vem2.mtx,0.0001,True,True,True,True,47,965,1308,1927,0.08438390000083018,13.378375800006324,2.6795331000030274,8.88462489999074
