method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,2.19174725042255e-11,59,0.0009952000000339467
Gauss-Seidel,1e-10,True,3.5082393297349233e-09,2338,8.098837500001537
Gradient,1e-10,True,2.713163485630515e-09,3058,0.04593620000014198
Jacobi,1e-10,True,3.539456453812666e-09,4671,0.11144109999804641
Conjugate Gradient,1e-08,True,2.8318733673446042e-09,53,0.0008170000000973232
Gauss-Seidel,1e-08,True,3.51745696533986e-07,1778,6.20467639999697
Gradient,1e-08,True,2.695337355522365e-07,2336,0.0342164000030607
Jacobi,1e-08,True,3.5397659338523606e-07,3552,0.07842019999952754
Conjugate Gradient,1e-06,True,3.732339701329859e-07,45,0.000805300001957221
Gauss-Seidel,1e-06,True,3.526696849102007e-05,1218,4.299072799996793
Gradient,1e-06,True,2.713339183169292e-05,1612,0.023813200001313817
Jacobi,1e-06,True,3.540073342770793e-05,2433,0.056334799999604
Conjugate Gradient,0.0001,True,4.082793158682092e-05,38,0.0006508999977086205
Gauss-Seidel,0.0001,True,0.0035069725970334883,659,2.323008600000321
Gradient,0.0001,True,0.0027045724093636447,890,0.01393370000005234
Jacobi,0.0001,True,0.0035403807574048898,1314,0.029852399999072077
