method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,1.2031104156386501e-09,200,0.017967900002986426
Gauss-Seidel,1e-10,True,2.2480878609189582e-08,31,0.08369479999964824
Gradient,1e-10,True,9.820386352846692e-08,12919,1.101077899998927
Jacobi,1e-10,True,1.8524375790180676e-09,313,0.05074619999868446
Conjugate Gradient,1e-08,True,1.3198404486356976e-07,177,0.015314399999624584
Gauss-Seidel,1e-08,True,1.709732899305257e-06,24,0.06346379999740748
Gradient,1e-08,True,9.816363745013184e-06,8233,0.6795385000004899
Jacobi,1e-08,True,1.8249788660178124e-07,247,0.040012299999943934
Conjugate Gradient,1e-06,True,2.552909277704429e-05,134,0.01114429999870481
Gauss-Seidel,1e-06,True,0.00012996939585946377,17,0.04363220000232104
Gradient,1e-06,True,0.0009680457310618861,3577,0.296732200000406
Jacobi,1e-06,True,1.7979295434241536e-05,181,0.029636700000992278
Conjugate Gradient,0.0001,True,0.020789760009956484,49,0.003999099997599842
Gauss-Seidel,0.0001,True,0.018205942995188802,9,0.02373470000020461
Gradient,0.0001,True,0.03457470077301099,143,0.012620599998626858
Jacobi,0.0001,True,0.0017712811483037575,115,0.023644100001547486
