method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,1.2031105626962748e-09,200,0.0922632000001613
Gauss-Seidel,1e-10,True,2.2480879509093628e-08,31,0.1444589000002452
Gradient,1e-10,True,9.820386166634246e-08,12919,4.604598300000362
Jacobi,1e-10,True,1.852435171110543e-09,313,1.9163614000008238
Conjugate Gradient,1e-08,True,1.3198404470228828e-07,177,0.05989430000045104
Gauss-Seidel,1e-08,True,1.7097329003905926e-06,24,0.060563400000319234
Gradient,1e-08,True,9.81636374318044e-06,8233,2.901971900000717
Jacobi,1e-08,True,1.8249788650839104e-07,247,1.68474310000056
Conjugate Gradient,1e-06,True,2.5529092776343234e-05,134,0.06789009999920381
Gauss-Seidel,1e-06,True,0.00012996939585972227,17,0.03989290000026813
Gradient,1e-06,True,0.0009680457310602736,3577,1.4239269999998214
Jacobi,1e-06,True,1.79792954346363e-05,181,0.9879221999999572
Conjugate Gradient,0.0001,True,0.020789760009956377,49,0.017502099999546772
Gauss-Seidel,0.0001,True,0.01820594299518843,9,0.026474399999642628
Gradient,0.0001,True,0.03457470077301085,143,0.039424299999154755
Jacobi,0.0001,True,0.0017712811483057052,115,0.6681710000011662
