method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,2.1917495955692855e-11,59,0.03533400000014808
Gauss-Seidel,1e-10,True,3.508245363805012e-09,2338,10.500977700001386
Gradient,1e-10,True,2.7131698514664498e-09,3058,1.486297100000229
Jacobi,1e-10,True,3.53946035755399e-09,4671,76.96998689999964
Conjugate Gradient,1e-08,True,2.8318733840161867e-09,53,0.039748699997289805
Gauss-Seidel,1e-08,True,3.5174570262656095e-07,1778,11.752997100000357
Gradient,1e-08,True,2.6953374191807193e-07,2336,1.7359772000017983
Jacobi,1e-08,True,3.5397659732201137e-07,3552,59.625040400002035
Conjugate Gradient,1e-06,True,3.732339701465672e-07,45,0.02119970000057947
Gauss-Seidel,1e-06,True,3.526696849704578e-05,1218,6.956799100000353
Gradient,1e-06,True,2.713339183805879e-05,1612,1.0255935999994108
Jacobi,1e-06,True,3.540073343179866e-05,2433,36.26640920000136
Conjugate Gradient,0.0001,True,4.082793158685096e-05,38,0.019492999999783933
Gauss-Seidel,0.0001,True,0.003506972597039514,659,3.72802529999899
Gradient,0.0001,True,0.0027045724093699916,890,0.49659479999900213
Jacobi,0.0001,True,0.0035403807574102613,1314,19.612970199999836
