method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,5.324229975138252e-09,240,1.689453500000127
Gauss-Seidel,1e-10,True,5.570738981572361e-09,15,0.2993876000000455
Gradient,1e-10,True,6.93781410636293e-08,8285,62.75721389999944
Jacobi,1e-10,True,1.4842725773822004e-09,99,6.687324499999704
Conjugate Gradient,1e-08,True,5.58666060301418e-07,196,1.811751500000355
Gauss-Seidel,1e-08,True,2.794322029402295e-07,12,0.23242949999985285
Gradient,1e-08,True,6.865240116795568e-06,5087,38.774159300000065
Jacobi,1e-08,True,1.5728698881985146e-07,78,5.243911900000057
Conjugate Gradient,1e-06,True,0.00011979846178557574,122,0.8955988999996407
Gauss-Seidel,1e-06,True,5.141641259527471e-05,8,0.160427200000413
Gradient,1e-06,True,0.0006694229253856877,1949,15.496124399999644
Jacobi,1e-06,True,1.6667561366720586e-05,57,3.9922026000003825
Conjugate Gradient,0.0001,True,0.009821128457264048,42,0.3034475999993447
Gauss-Seidel,0.0001,True,0.0025988955874521953,5,0.10378940000009607
Gradient,0.0001,True,0.018129645117112195,161,1.1846151999998256
Jacobi,0.0001,True,0.0017662465191141234,36,2.4712908999999854
